Key,Name,ballotpedia_id,State,Retiring,Seeking other Office,Cooke,Inside,Sabato
52,Thomas Carper,https://ballotpedia.org/Thomas_Carper,Delaware,No,No,Solid Democratic,Solid Democratic,Safe Democratic
53,Lisa Blunt,https://ballotpedia.org/Lisa_Blunt,Delaware,No,No,Solid Democratic,Solid Democratic,Safe Democratic
54,Eric Hansen,https://ballotpedia.org/Eric_Hansen,Delaware,No,No,Solid Democratic,Solid Democratic,Safe Democratic
55,William Taylor,https://ballotpedia.org/William_Taylor,Delaware,No,No,Solid Democratic,Solid Democratic,Safe Democratic
56,Rick Scott,https://ballotpedia.org/Rick_Scott,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
57,Matt Boswell,https://ballotpedia.org/Matt_Boswell,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
58,Alan Grayson,https://ballotpedia.org/Alan_Grayson,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
59,Donald Horan,https://ballotpedia.org/Donald_Horan,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
60,Rod Joseph,https://ballotpedia.org/Rod_Joseph,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
61,Bernard Korn,https://ballotpedia.org/Bernard_Korn,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
62,Josue Larose,https://ballotpedia.org/Josue_Larose,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
63,Debbie Mucarsel-Powell,https://ballotpedia.org/Debbie_Mucarsel-Powell,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
64,Chase Anderson,https://ballotpedia.org/Chase_Anderson,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
65,Brian Rush,https://ballotpedia.org/Brian_Rush,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
66,Matthew Sanscrainte,https://ballotpedia.org/Matthew_Sanscrainte,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
67,Everett Stern,https://ballotpedia.org/Everett_Stern,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
68,Keith Gross,https://ballotpedia.org/Keith_Gross,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
69,Patricia Krentcil,https://ballotpedia.org/Patricia_Krentcil,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
70,Joe Smith,https://ballotpedia.org/Joe_Smith,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
71,Angela Marie,https://ballotpedia.org/Angela_Marie,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
72,Grace Granda,https://ballotpedia.org/Grace_Granda,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
73,Salomon Hernandez,https://ballotpedia.org/Salomon_Hernandez,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
74,James Davis,https://ballotpedia.org/James_Davis,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
75,Randy Toler,https://ballotpedia.org/Randy_Toler,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
76,A.C. Toulme,https://ballotpedia.org/A.C._Toulme,Florida,No,No,Likely Republican,Solid Republican,Likely Republican
77,Mazie Hirono,https://ballotpedia.org/Mazie_Hirono,Hawaii,No,No,Solid Democratic,Solid Democratic,Safe Democratic
78,"Harry Friel,","https://ballotpedia.org/Harry_Friel,",Hawaii,No,No,Solid Democratic,Solid Democratic,Safe Democratic
79,Mike Braun,https://ballotpedia.org/Mike_Braun,Indiana,No,Yes,Solid Republican,Solid Republican,Safe Republican
80,Marc Carmichael,https://ballotpedia.org/Marc_Carmichael,Indiana,No,No,Solid Republican,Solid Republican,Safe Republican
81,Valerie Lin,https://ballotpedia.org/Valerie_Lin,Indiana,No,No,Solid Republican,Solid Republican,Safe Republican
82,Keith Potts,https://ballotpedia.org/Keith_Potts,Indiana,No,No,Solid Republican,Solid Republican,Safe Republican
83,Marshall Travis,https://ballotpedia.org/Marshall_Travis,Indiana,No,No,Solid Republican,Solid Republican,Safe Republican
84,Aleem Young,https://ballotpedia.org/Aleem_Young,Indiana,No,No,Solid Republican,Solid Republican,Safe Republican
85,Jim Banks,https://ballotpedia.org/Jim_Banks,Indiana,No,No,Solid Republican,Solid Republican,Safe Republican
86,Erik Benson,https://ballotpedia.org/Erik_Benson,Indiana,No,No,Solid Republican,Solid Republican,Safe Republican
87,Wayne Harmon,https://ballotpedia.org/Wayne_Harmon,Indiana,No,No,Solid Republican,Solid Republican,Safe Republican
88,Douglas McGuire,https://ballotpedia.org/Douglas_McGuire,Indiana,No,No,Solid Republican,Solid Republican,Safe Republican
89,John Rust,https://ballotpedia.org/John_Rust,Indiana,No,No,Solid Republican,Solid Republican,Safe Republican
90,Anthony Tibby,https://ballotpedia.org/Anthony_Tibby,Indiana,No,No,Solid Republican,Solid Republican,Safe Republican
91,Sean Dada,https://ballotpedia.org/Sean_Dada,Indiana,No,No,Solid Republican,Solid Republican,Safe Republican
92,Richard Kent,https://ballotpedia.org/Richard_Kent,Indiana,No,No,Solid Republican,Solid Republican,Safe Republican
93,Andy Horning,https://ballotpedia.org/Andy_Horning,Indiana,No,No,Solid Republican,Solid Republican,Safe Republican
94,Elizabeth Warren,https://ballotpedia.org/Elizabeth_Warren,Massachusetts,No,No,Solid Democratic,Solid Democratic,Safe Democratic
95,Zakhai Akiba,https://ballotpedia.org/Zakhai_Akiba,Massachusetts,No,No,Solid Democratic,Solid Democratic,Safe Democratic
96,Robert Antonellis,https://ballotpedia.org/Robert_Antonellis,Massachusetts,No,No,Solid Democratic,Solid Democratic,Safe Democratic
97,Rebekah Etique,https://ballotpedia.org/Rebekah_Etique,Massachusetts,No,No,Solid Democratic,Solid Democratic,Safe Democratic
98,Shiva Ayyadurai,https://ballotpedia.org/Shiva_Ayyadurai,Massachusetts,No,No,Solid Democratic,Solid Democratic,Safe Democratic
99,Brandon James,https://ballotpedia.org/Brandon_James,Massachusetts,No,No,Solid Democratic,Solid Democratic,Safe Democratic
100,Louis Marino,https://ballotpedia.org/Louis_Marino,Massachusetts,No,No,Solid Democratic,Solid Democratic,Safe Democratic
101,Benjamin Cardin,https://ballotpedia.org/Benjamin_Cardin,Maryland,No,No,Solid Democratic,Solid Democratic,Safe Democratic
102,Angela Alsobrooks,https://ballotpedia.org/Angela_Alsobrooks,Maryland,No,No,Solid Democratic,Solid Democratic,Safe Democratic
103,Marcellus Crews,https://ballotpedia.org/Marcellus_Crews,Maryland,No,No,Solid Democratic,Solid Democratic,Safe Democratic
104,Juan Dominguez,https://ballotpedia.org/Juan_Dominguez,Maryland,No,No,Solid Democratic,Solid Democratic,Safe Democratic
105,Brian Frydenborg,https://ballotpedia.org/Brian_Frydenborg,Maryland,No,No,Solid Democratic,Solid Democratic,Safe Democratic
106,William Jawando,https://ballotpedia.org/William_Jawando,Maryland,No,No,Solid Democratic,Solid Democratic,Safe Democratic
107,Steven Seuferer,https://ballotpedia.org/Steven_Seuferer,Maryland,No,No,Solid Democratic,Solid Democratic,Safe Democratic
108,David Trone,https://ballotpedia.org/David_Trone,Maryland,No,No,Solid Democratic,Solid Democratic,Safe Democratic
109,Robin Ficker,https://ballotpedia.org/Robin_Ficker,Maryland,No,No,Solid Democratic,Solid Democratic,Safe Democratic
110,Lorie Friend,https://ballotpedia.org/Lorie_Friend,Maryland,No,No,Solid Democratic,Solid Democratic,Safe Democratic
111,Christopher Puleo,https://ballotpedia.org/Christopher_Puleo,Maryland,No,No,Solid Democratic,Solid Democratic,Safe Democratic
112,John Teichert,https://ballotpedia.org/John_Teichert,Maryland,No,No,Solid Democratic,Solid Democratic,Safe Democratic
113,Shaunesi Deberry,https://ballotpedia.org/Shaunesi_Deberry,Maryland,No,No,Solid Democratic,Solid Democratic,Safe Democratic
114,Onyekachi Osuchukwu,https://ballotpedia.org/Onyekachi_Osuchukwu,Maryland,No,No,Solid Democratic,Solid Democratic,Safe Democratic
115,Angus King,https://ballotpedia.org/Angus_King,Maine,No,No,Solid Democratic,Solid Democratic,Likely independent
116,David Costello,https://ballotpedia.org/David_Costello,Maine,No,No,Solid Democratic,Solid Democratic,Likely independent
117,Debbie Stabenow,https://ballotpedia.org/Debbie_Stabenow,Michigan,Yes,No,Lean Democratic,Lean Democratic,Lean Democratic
118,Nasser Beydoun,https://ballotpedia.org/Nasser_Beydoun,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
119,Zack Burns,https://ballotpedia.org/Zack_Burns,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
120,Hill Harper,https://ballotpedia.org/Hill_Harper,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
121,Leslie Love,https://ballotpedia.org/Leslie_Love,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
122,Pamela Pugh,https://ballotpedia.org/Pamela_Pugh,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
123,Elissa Slotkin,https://ballotpedia.org/Elissa_Slotkin,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
124,James Craig,https://ballotpedia.org/James_Craig,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
125,Michael Hoover,https://ballotpedia.org/Michael_Hoover,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
126,Sherry O'Donnell,https://ballotpedia.org/Sherry_O'Donnell,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
127,Mike Rogers,https://ballotpedia.org/Mike_Rogers,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
128,Sharon Savage,https://ballotpedia.org/Sharon_Savage,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
129,Nikki Snyder,https://ballotpedia.org/Nikki_Snyder,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
130,Alexandria Taylor,https://ballotpedia.org/Alexandria_Taylor,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
131,J.D. Wilson,https://ballotpedia.org/J.D._Wilson,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
132,Douglas Marsh,https://ballotpedia.org/Douglas_Marsh,Michigan,No,No,Lean Democratic,Lean Democratic,Lean Democratic
133,Amy Klobuchar,https://ballotpedia.org/Amy_Klobuchar,Minnesota,No,No,Solid Democratic,Solid Democratic,Safe Democratic
134,John Berman,https://ballotpedia.org/John_Berman,Minnesota,No,No,Solid Democratic,Solid Democratic,Safe Democratic
135,Patrick Munro,https://ballotpedia.org/Patrick_Munro,Minnesota,No,No,Solid Democratic,Solid Democratic,Safe Democratic
136,Mike Ruoho,https://ballotpedia.org/Mike_Ruoho,Minnesota,No,No,Solid Democratic,Solid Democratic,Safe Democratic
137,Royce White,https://ballotpedia.org/Royce_White,Minnesota,No,No,Solid Democratic,Solid Democratic,Safe Democratic
138,Josh Hawley,https://ballotpedia.org/Josh_Hawley,Missouri,No,No,Solid Republican,Solid Republican,Safe Republican
139,Wesley Bell,https://ballotpedia.org/Wesley_Bell,Missouri,No,No,Solid Republican,Solid Republican,Safe Republican
140,December Harmon,https://ballotpedia.org/December_Harmon,Missouri,No,No,Solid Republican,Solid Republican,Safe Republican
141,Lucas Kunce,https://ballotpedia.org/Lucas_Kunce,Missouri,No,No,Solid Republican,Solid Republican,Safe Republican
142,Karla May,https://ballotpedia.org/Karla_May,Missouri,No,No,Solid Republican,Solid Republican,Safe Republican
143,Samuel Rutherford,https://ballotpedia.org/Samuel_Rutherford,Missouri,No,No,Solid Republican,Solid Republican,Safe Republican
144,Christopher Murphy,https://ballotpedia.org/Christopher_Murphy,Missouri,No,No,Solid Republican,Solid Republican,Safe Republican
145,Jared Young,https://ballotpedia.org/Jared_Young,Missouri,No,No,Solid Republican,Solid Republican,Safe Republican
146,Doris Canaday,https://ballotpedia.org/Doris_Canaday,Missouri,No,No,Solid Republican,Solid Republican,Safe Republican
147,Roger Wicker,https://ballotpedia.org/Roger_Wicker,Mississippi,No,No,Solid Republican,Solid Republican,Safe Republican
148,Ty Pinkins,https://ballotpedia.org/Ty_Pinkins,Mississippi,No,No,Solid Republican,Solid Republican,Safe Republican
149,Dan Eubanks,https://ballotpedia.org/Dan_Eubanks,Mississippi,No,No,Solid Republican,Solid Republican,Safe Republican
150,Jon Tester,https://ballotpedia.org/Jon_Tester,Montana,No,No,Lean Democratic,Toss-up,Toss-up
151,Brad Johnson,https://ballotpedia.org/Brad_Johnson,Montana,No,No,Lean Democratic,Toss-up,Toss-up
152,Thomas Madigan,https://ballotpedia.org/Thomas_Madigan,Montana,No,No,Lean Democratic,Toss-up,Toss-up
153,Tim Sheehy,https://ballotpedia.org/Tim_Sheehy,Montana,No,No,Lean Democratic,Toss-up,Toss-up
154,Kevin Cramer,https://ballotpedia.org/Kevin_Cramer,North Dakota,No,No,Solid Republican,Solid Republican,Safe Republican
155,Katrina Christiansen,https://ballotpedia.org/Katrina_Christiansen,North Dakota,No,No,Solid Republican,Solid Republican,Safe Republican
156,Kristin Hedger,https://ballotpedia.org/Kristin_Hedger,North Dakota,No,No,Solid Republican,Solid Republican,Safe Republican
157,Deb Fischer,https://ballotpedia.org/Deb_Fischer,Nebraska,No,No,Solid Republican,Solid Republican,Safe Republican
158,Michael Janulewicz,https://ballotpedia.org/Michael_Janulewicz,Nebraska,No,No,Solid Republican,Solid Republican,Safe Republican
159,Paul Theobald,https://ballotpedia.org/Paul_Theobald,Nebraska,No,No,Solid Republican,Solid Republican,Safe Republican
160,John Glen,https://ballotpedia.org/John_Glen,Nebraska,No,No,Solid Republican,Solid Republican,Safe Republican
161,Robert Menendez,https://ballotpedia.org/Robert_Menendez,New Jersey,No,No,Likely Democratic,Likely Democratic,Safe Democratic
162,Kevin Cupples,https://ballotpedia.org/Kevin_Cupples,New Jersey,No,No,Likely Democratic,Likely Democratic,Safe Democratic
163,Lawrence Hamm,https://ballotpedia.org/Lawrence_Hamm,New Jersey,No,No,Likely Democratic,Likely Democratic,Safe Democratic
164,Kyle Jasey,https://ballotpedia.org/Kyle_Jasey,New Jersey,No,No,Likely Democratic,Likely Democratic,Safe Democratic
165,Andrew Kim,https://ballotpedia.org/Andrew_Kim,New Jersey,No,No,Likely Democratic,Likely Democratic,Safe Democratic
166,Daniel Cruz,https://ballotpedia.org/Daniel_Cruz,New Jersey,No,No,Likely Democratic,Likely Democratic,Safe Democratic
167,Shirley Maia-Cusick,https://ballotpedia.org/Shirley_Maia-Cusick,New Jersey,No,No,Likely Democratic,Likely Democratic,Safe Democratic
168,Gregg Mele,https://ballotpedia.org/Gregg_Mele,New Jersey,No,No,Likely Democratic,Likely Democratic,Safe Democratic
169,Christine Serrano-Glassner,https://ballotpedia.org/Christine_Serrano-Glassner,New Jersey,No,No,Likely Democratic,Likely Democratic,Safe Democratic
170,Nick Carducci,https://ballotpedia.org/Nick_Carducci,New Jersey,No,No,Likely Democratic,Likely Democratic,Safe Democratic
171,Christina Khalil,https://ballotpedia.org/Christina_Khalil,New Jersey,No,No,Likely Democratic,Likely Democratic,Safe Democratic
172,Martin Heinrich,https://ballotpedia.org/Martin_Heinrich,New Mexico,No,No,Solid Democratic,Solid Democratic,Safe Democratic
173,Jacky Rosen,https://ballotpedia.org/Jacky_Rosen,Nevada,No,No,Lean Democratic,Tilt Democratic,Lean Democratic
174,Troy Walker,https://ballotpedia.org/Troy_Walker,Nevada,No,No,Lean Democratic,Tilt Democratic,Lean Democratic
175,Sam Brown,https://ballotpedia.org/Sam_Brown,Nevada,No,No,Lean Democratic,Tilt Democratic,Lean Democratic
176,Cornell Clark,https://ballotpedia.org/Cornell_Clark,Nevada,No,No,Lean Democratic,Tilt Democratic,Lean Democratic
177,William Conrad,https://ballotpedia.org/William_Conrad,Nevada,No,No,Lean Democratic,Tilt Democratic,Lean Democratic
178,Heath Fulkerson,https://ballotpedia.org/Heath_Fulkerson,Nevada,No,No,Lean Democratic,Tilt Democratic,Lean Democratic
179,Tony Grady,https://ballotpedia.org/Tony_Grady,Nevada,No,No,Lean Democratic,Tilt Democratic,Lean Democratic
180,Jeff Gunter,https://ballotpedia.org/Jeff_Gunter,Nevada,No,No,Lean Democratic,Tilt Democratic,Lean Democratic
181,Ronda Kennedy,https://ballotpedia.org/Ronda_Kennedy,Nevada,No,No,Lean Democratic,Tilt Democratic,Lean Democratic
182,Barry Lindemann,https://ballotpedia.org/Barry_Lindemann,Nevada,No,No,Lean Democratic,Tilt Democratic,Lean Democratic
183,Jim Marchant,https://ballotpedia.org/Jim_Marchant,Nevada,No,No,Lean Democratic,Tilt Democratic,Lean Democratic
184,Stephanie Phillips,https://ballotpedia.org/Stephanie_Phillips,Nevada,No,No,Lean Democratic,Tilt Democratic,Lean Democratic
185,Dan Osborn,https://ballotpedia.org/Dan_Osborn,Nevada,No,No,Lean Democratic,Tilt Democratic,Lean Democratic
186,Bradley Scott,https://ballotpedia.org/Bradley_Scott,Nevada,No,No,Lean Democratic,Tilt Democratic,Lean Democratic
187,Kirsten Gillibrand,https://ballotpedia.org/Kirsten_Gillibrand,New York,No,No,Solid Democratic,Solid Democratic,Safe Democratic
188,Tyrrell Lev,https://ballotpedia.org/Tyrrell_Lev,New York,No,No,Solid Democratic,Solid Democratic,Safe Democratic
189,Daniel Foti,https://ballotpedia.org/Daniel_Foti,New York,No,No,Solid Democratic,Solid Democratic,Safe Democratic
190,Khaled Salem,https://ballotpedia.org/Khaled_Salem,New York,No,No,Solid Democratic,Solid Democratic,Safe Democratic
191,William Schweitzer,https://ballotpedia.org/William_Schweitzer,New York,No,No,Solid Democratic,Solid Democratic,Safe Democratic
192,Reece Wright-McDonald,https://ballotpedia.org/Reece_Wright-McDonald,New York,No,No,Solid Democratic,Solid Democratic,Safe Democratic
193,David Bellon,https://ballotpedia.org/David_Bellon,New York,No,No,Solid Democratic,Solid Democratic,Safe Democratic
194,Calvin Driggers,https://ballotpedia.org/Calvin_Driggers,New York,No,No,Solid Democratic,Solid Democratic,Safe Democratic
195,Joshua Eisen,https://ballotpedia.org/Joshua_Eisen,New York,No,No,Solid Democratic,Solid Democratic,Safe Democratic
196,Diane Sare,https://ballotpedia.org/Diane_Sare,New York,No,No,Solid Democratic,Solid Democratic,Safe Democratic
197,YueXin Miller,https://ballotpedia.org/YueXin_Miller,New York,No,No,Solid Democratic,Solid Democratic,Safe Democratic
198,Sherrod Brown,https://ballotpedia.org/Sherrod_Brown,Ohio,No,No,Toss-up,Toss-up,Toss-up
199,Matt Dolan,https://ballotpedia.org/Matt_Dolan,Ohio,No,No,Toss-up,Toss-up,Toss-up
200,Frank LaRose,https://ballotpedia.org/Frank_LaRose,Ohio,No,No,Toss-up,Toss-up,Toss-up
201,Bernie Moreno,https://ballotpedia.org/Bernie_Moreno,Ohio,No,No,Toss-up,Toss-up,Toss-up
202,Joel Mutchler,https://ballotpedia.org/Joel_Mutchler,Ohio,No,No,Toss-up,Toss-up,Toss-up
203,Robert Casey,https://ballotpedia.org/Robert_Casey,Pennsylvania,No,No,Lean Democratic,Tilt Democratic,Likely Democratic
204,Blaine Forkner,https://ballotpedia.org/Blaine_Forkner,Pennsylvania,No,No,Lean Democratic,Tilt Democratic,Likely Democratic
205,William Forkner,https://ballotpedia.org/William_Forkner,Pennsylvania,No,No,Lean Democratic,Tilt Democratic,Likely Democratic
206,David McCormick,https://ballotpedia.org/David_McCormick,Pennsylvania,No,No,Lean Democratic,Tilt Democratic,Likely Democratic
207,Tariq Parvez,https://ballotpedia.org/Tariq_Parvez,Pennsylvania,No,No,Lean Democratic,Tilt Democratic,Likely Democratic
208,Cory Widmann,https://ballotpedia.org/Cory_Widmann,Pennsylvania,No,No,Lean Democratic,Tilt Democratic,Likely Democratic
209,Quincy Magee,https://ballotpedia.org/Quincy_Magee,Pennsylvania,No,No,Lean Democratic,Tilt Democratic,Likely Democratic
210,Hussein Tartour-Aguirre,https://ballotpedia.org/Hussein_Tartour-Aguirre,Pennsylvania,No,No,Lean Democratic,Tilt Democratic,Likely Democratic
211,Sheldon Whitehouse,https://ballotpedia.org/Sheldon_Whitehouse,Rhode Island,No,No,Solid Democratic,Solid Democratic,Safe Democratic
212,Allen Waters,https://ballotpedia.org/Allen_Waters,Rhode Island,No,No,Solid Democratic,Solid Democratic,Safe Democratic
213,Raymond McKay,https://ballotpedia.org/Raymond_McKay,Rhode Island,No,No,Solid Democratic,Solid Democratic,Safe Democratic
214,Patricia Morgan,https://ballotpedia.org/Patricia_Morgan,Rhode Island,No,No,Solid Democratic,Solid Democratic,Safe Democratic
215,Armando Anzoli,https://ballotpedia.org/Armando_Anzoli,Rhode Island,No,No,Solid Democratic,Solid Democratic,Safe Democratic
216,Marsha Blackburn,https://ballotpedia.org/Marsha_Blackburn,Tennessee,No,No,Solid Republican,Solid Republican,Safe Republican
217,Dylan Fain,https://ballotpedia.org/Dylan_Fain,Tennessee,No,No,Solid Republican,Solid Republican,Safe Republican
218,Gloria Johnson,https://ballotpedia.org/Gloria_Johnson,Tennessee,No,No,Solid Republican,Solid Republican,Safe Republican
219,Wisdom Zerit,https://ballotpedia.org/Wisdom_Zerit,Tennessee,No,No,Solid Republican,Solid Republican,Safe Republican
220,Ted Cruz,https://ballotpedia.org/Ted_Cruz,Texas,No,No,Likely Republican,Likely Republican,Likely Republican
221,Colin Allred,https://ballotpedia.org/Colin_Allred,Texas,No,No,Likely Republican,Likely Republican,Likely Republican
222,Tracy Andrus,https://ballotpedia.org/Tracy_Andrus,Texas,No,No,Likely Republican,Likely Republican,Likely Republican
